gene,n_motifs,is_cgc
STAT3,48,True
SOCS3,31,False
STAT1,14,False
STAT5A,14,False
STAT5B,14,True
MAPK1,13,True
CDK2,12,True
JAK2,12,True
JAK1,10,True
TYK2,10,False
SMAD7,9,True
SOCS1,9,True
CCNE1,8,True
SOCS4,7,False
SOCS7,7,False
SOCS6,7,False
SOCS5,7,False
SMAD2,6,False
SMAD3,6,True
TP53,6,True
CDKN1B,6,True
MTOR,6,True
CISH,5,False
SMAD4,5,False
RB1,4,True
STAT2,4,False
CDKN1A,4,True
BCL2,4,True
E2F1,3,True
LEPR,3,False
TGFBR1,3,True
IRS1,3,False
PIK3R3,3,False
PIK3CA,3,True
PIK3R1,3,False
IRS2,3,False
MAPK14,3,False
PTK2,3,False
PTEN,3,True
CDKN2A,2,True
CSF1R,2,True
BMPR1A,2,True
BMPR1B,2,False
BMPR2,2,False
FOXO6,2,False
FOXO1,2,True
FOXO3,2,True
FOXO4,2,False
MDM2,1,True
CDH1,1,False
CTNNB1,1,True
TP73,1,False
RBL1,1,False
RBL2,1,False
TFDP1,1,False
E2F2,1,False
E2F3,1,False
TNFAIP3,1,False
RELA,1,True
TRAF6,1,True
SMAD1,1,False
SMAD5,1,False
AKT3,1,False
AKT1,1,True
AKT2,1,True
PRLR,1,False
GLI3,1,True
GLI2,1,True
GLI1,1,True
PMAIP1,1,False
SIVA1,1,False
BID,1,True
BBC3,1,False
AXIN1,1,True
YAP1,1,True
CSNK1E,1,False
